,Arsenal,Aston Villa,Bournemouth,Brentford,Brighton,Burnley,Chelsea,Crystal Palace,Everton,Fulham,Leeds,Liverpool,Man City,Man United,Newcastle,Nott'm Forest,Sunderland,Tottenham,West Ham,Wolves
2025-08-01,9980,3993,3725,3779,4990,3187,13212,4215,4093,2278,3872,29147,7314,12559,5633,3963,7740,8611,3690,2846
2025-08-02,8854,4222,3474,4074,4683,3859,11680,4625,3796,2080,9505,14674,6685,11557,7429,3933,6040,15452,4608,3504
2025-08-03,8950,3965,5181,3646,3479,2978,15006,4130,6499,2245,8095,12957,6353,15204,7208,3395,5426,15879,7691,3412
2025-08-04,9778,3964,3779,3366,3540,3932,18976,4145,6544,2342,8534,17813,6778,15052,5433,3480,5272,14594,4826,3169
2025-08-05,9447,4147,3792,4207,3446,3162,15796,4351,4964,2215,5116,16424,6947,12947,5591,4030,4891,11785,4424,2999
2025-08-06,11086,4942,3380,3932,4875,3816,18442,4797,7925,2533,5893,16071,7098,17691,7818,4415,5906,11775,4570,2932
2025-08-07,10204,4521,2924,3657,5526,6089,21602,3820,5626,2254,8748,15205,6920,21705,7814,4122,5955,14924,4648,2748
2025-08-08,9330,5309,4202,4447,4552,5333,21508,4545,4832,2254,7066,13369,7883,22200,7076,3884,6329,10354,4473,3351
2025-08-09,11776,4807,4238,3834,4443,5062,16990,8181,5733,2563,25957,15157,8986,38713,7530,3696,6355,8310,5276,3423
2025-08-10,12616,5333,3994,3928,4778,4392,16715,45812,5936,2694,9316,30342,10899,25450,6146,4144,7745,9364,5133,3189
2025-08-11,10578,5028,4778,4073,5051,4423,14311,25309,11105,2803,8287,14946,12622,22259,5713,5088,7727,9487,4868,3181
2025-08-12,10445,5541,6780,3994,4788,3957,12362,11616,12200,2686,8397,13362,11653,21080,8298,4246,7002,10580,4491,3293
2025-08-13,12658,6140,6098,6764,4910,4481,13425,7536,9067,3248,9017,14716,11411,17978,8947,4633,7225,31204,4821,3703
2025-08-14,11313,6339,5963,5591,4997,4938,12914,6169,6584,3225,7626,15011,13530,16622,7378,5623,9055,14872,4973,4066
2025-08-15,12553,6586,24142,7362,6356,6367,13697,6771,7290,3621,12796,34781,12119,17519,7477,7282,10521,9385,5606,5113
2025-08-16,11867,14826,9546,7009,9003,12943,12331,9673,6804,5993,55594,24240,26101,16946,12148,8003,32425,16610,10191,14708
2025-08-17,23501,5923,4713,14053,5350,6095,20879,13832,6253,3692,13302,14724,18803,35860,7571,14174,19789,10992,7051,6073
2025-08-18,12355,5558,5106,6160,3946,4326,10947,6386,14809,2888,43645,13671,11881,19323,6239,9098,12411,8579,5260,4003
2025-08-19,9147,4712,4478,4047,3329,3226,9467,6210,6071,2728,14861,11798,9886,12729,5199,6245,8305,7128,4196,4196
2025-08-20,11947,4597,3227,3654,3093,2696,10238,5815,3924,2303,7173,10794,8888,11515,6395,6079,8338,6836,4148,3060
2025-08-21,18897,4550,4688,3359,3763,2666,12256,13721,3872,2412,8726,10868,8818,11936,5101,5828,7318,8321,4672,3381
2025-08-22,14219,4386,3515,3526,3740,2945,20056,9868,4509,2710,12025,9670,8455,11938,4805,10443,8429,7465,20062,3500
2025-08-23,34045,6343,5492,14677,4077,8450,16531,9966,5535,3376,87273,10397,20386,12973,4575,7354,9971,22992,13001,4822
2025-08-24,24780,4433,3921,6738,8870,5108,13484,12693,26334,16921,16539,11180,10680,22687,4747,9991,5953,12084,6332,4472
2025-08-25,16659,3754,3479,4148,3892,3278,11224,6193,13077,4679,15320,22946,8029,14720,18459,6202,4641,8637,5097,3775
2025-08-26,13795,3706,3440,3696,3274,3552,12341,5408,8004,2828,11979,19990,7561,12546,10338,4791,5013,7720,5771,4986
2025-08-27,12293,3701,3087,3400,4270,3095,12575,6033,6839,3136,5767,12344,7348,27357,6667,4655,4346,7571,6688,5212
