n,phase,t,title,status,retry_after,body
1,burst,0.0,Arsenal_F.C.,200,,
2,burst,0.7,Aston_Villa_F.C.,200,,
3,burst,1.4,AFC_Bournemouth,200,,
4,burst,2.1,Brentford_F.C.,200,,
5,burst,2.7,Brighton_&_Hove_Albion_F.C.,200,,
6,burst,3.5,Burnley_F.C.,200,,
7,burst,4.1,Chelsea_F.C.,200,,
8,burst,4.8,Crystal_Palace_F.C.,200,,
9,burst,5.6,Everton_F.C.,429,31,"You are making too many requests to the API.
Please follow the best practices at <https://www.mediawiki.org/wiki/Wikimed"
10,recover,20.8,Arsenal_F.C.,200,,
