id,entered_at,token,mint,entry_price_usd,size_gbp,rule_version,entry_liq_usd,exit_at,exit_price_usd,exit_reason,pnl_gbp,score_24h,score_7d,rugged
G-0001,2026-09-24T07:36:07Z,FUNKOS,BDKC1AV3saXrN8jKnWB2TTQmDD6z8CFdY55ku7eAfunk,0.0004064,5.0,v0.1,61568.59,2026-09-24T22:26:16Z,5.591e-05,stop_loss,-6.63,-97.0,,0
G-0002,2026-09-24T07:36:07Z,JEANCOIN,4WECKfvfgEiojyZJq5Xm12Hvk76rhM4VHQAZGaELpump,0.002397,5.0,v0.1,146516.32,2026-09-24T22:26:16Z,0.005263,take_profit,3.45,-99.5,,0
G-0003,2026-09-24T07:36:07Z,NPC,7GUnr7krtQhJwd6ASY2VUprd9t4c64zcgCsjdmZepump,0.0006566,5.0,v0.1,79429.48,2026-09-25T22:26:11Z,0.003038,take_profit,15.37,362.1,,0
G-0004,2026-09-24T07:36:07Z,SI,82ezhRLKdKwkSC9jkM3js1yf93VbmvLXNMPkBmompump,0.0004967,5.0,v0.1,66282.43,2026-09-25T22:26:11Z,0.0001462,stop_loss,-5.87,-70.8,,0
G-0005,2026-09-24T22:26:16Z,Agrippa,6TfTBpkgRX5kzb1qbtijV1nZVTfzfbmbXE1hPsFrpump,0.0001213,5.0,v0.1,31325.37,2026-09-25T22:26:11Z,2.721e-06,rug,-7.2,-97.8,,1
G-0006,2026-09-24T22:26:16Z,dap,8LHgAXXPbMVqd3wmAQbTu4NxuRRe3qowgUSLiKmFpump,0.00005183,5.0,v0.1,20409.05,,,,,-33.3,,
G-0007,2026-09-25T22:26:11Z,e/acc,CbcyNo7m1amFWqEQm2m4PLv1UNvpcL3C1Ujm6AkzpKoU,0.0006065,100.0,v0.2,78907.66,,,,,,,
G-0008,2026-09-25T22:26:11Z,TRUMP,DmQDfFpbKHna4MgtsZgBQYmyMSNJjvLAj6XjduqRpump,0.0007294,100.0,v0.2,82788.42,,,,,,,
G-0009,2026-09-25T22:26:11Z,GHOSTGUY,EGRv76STtVdNNwKdyMkQLQquYggcMuToXy92qS9pump,0.00009171,100.0,v0.2,27039.95,,,,,,,
G-0010,2026-09-25T22:26:11Z,JEANWORK,9EwEYhqzRHmE87ypWKUU1zZKP8uMeGdunmJ4etTmpump,0.0001942,100.0,v0.2,43045.98,,,,,,,
