id,rule_version,token,pool,dex,entered_at,window_end,status,candles,high,high_at,runup_pct,low,low_at,drawdown_pct,path_exit_at,path_exit_price,path_exit_reason,path_move_pct,gap_to_high_pts,ledger_exit_at,ledger_exit_price,ledger_exit_reason,ledger_move_pct,ledger_pnl_gbp,path_pnl_same_costs_gbp,path_pnl_v02_costs_gbp,path_pnl_v02_pct_stake
G-0001,v0.1,FUNKOS,Hhe2TY1dGPr7SdMJC2hTACq7dTxfr5f6BF3n2nWwkoce,pumpswap,2026-09-24T07:36:07Z,2026-09-25T07:36:07Z,path-closed,1306,0.00039730238355002923,2026-09-24T07:40:00Z,-2.2,4.3573579729389254e-05,2026-09-24T23:54:00Z,-89.3,2026-09-24T08:10:00Z,0.0002032,stop_loss,-50.0,47.8,2026-09-24T22:26:16Z,5.591e-05,stop_loss,-86.2,-6.63,-4.86,-52.86,-52.9
G-0002,v0.1,JEANCOIN,GGHv342SHrQm8JiyuHvQtK9GiEXZFr5dSeQwLEAM2Vfc,pumpswap,2026-09-24T07:36:07Z,2026-09-25T07:36:07Z,path-closed,1373,0.005817967984429777,2026-09-25T05:43:00Z,142.7,0.0019975934764293614,2026-09-24T11:34:00Z,-16.7,2026-09-24T21:46:00Z,0.004794,take_profit,100.0,42.7,2026-09-24T22:26:16Z,0.005263,take_profit,119.6,3.45,2.49,93.13,93.1
G-0003,v0.1,NPC,BRjMA8UALNp3diTKHfdeAn5riQrYPoaYez7KhYWD4oEs,pumpswap,2026-09-24T07:36:07Z,2026-09-25T07:36:07Z,path-closed,1395,0.0029370551833512804,2026-09-25T05:30:00Z,347.3,0.00012710465496465004,2026-09-24T12:25:00Z,-80.6,2026-09-24T09:42:00Z,0.0003283,stop_loss,-50.0,397.3,2026-09-25T22:26:11Z,0.003038,take_profit,362.7,15.37,-4.86,-52.78,-52.8
G-0004,v0.1,SI,3odkxoFB7KvujaRFoLbCQbbZv93R9njJr9KQTH5cKDKT,pumpswap,2026-09-24T07:36:07Z,2026-09-25T07:36:07Z,path-closed,1390,0.0008750782303260051,2026-09-24T08:25:00Z,76.2,0.00019961536279764207,2026-09-24T22:51:00Z,-59.8,2026-09-24T17:39:00Z,0.00024835,stop_loss,-50.0,126.2,2026-09-25T22:26:11Z,0.0001462,stop_loss,-70.6,-5.87,-4.86,-52.83,-52.8
G-0005,v0.1,Agrippa,8aDqCgNAmrpJRB7ZdGM8a2SkCEKJJGf9wrA7aodszn7a,pumpswap,2026-09-24T22:26:16Z,2026-09-25T22:26:16Z,path-closed,44,0.00012813066470591665,2026-09-24T22:28:00Z,5.6,2.4596263152162835e-06,2026-09-24T23:13:00Z,-98.0,2026-09-24T22:57:00Z,2.465720601228881e-06,rug,-98.0,103.6,2026-09-25T22:26:11Z,2.721e-06,rug,-97.8,-7.2,-7.21,-98.12,-98.1
G-0006,v0.1,dap,AatUCcoFPRovvTrSLUzN8yfjuvnQHfVoThKQiyfsHvEr,pumpswap,2026-09-24T22:26:16Z,2026-09-25T22:26:16Z,path-closed,1135,0.00016020842993584824,2026-09-25T16:48:00Z,209.1,1.1198884875074429e-05,2026-09-25T06:23:00Z,-78.4,2026-09-24T23:58:00Z,2.5915e-05,stop_loss,-50.0,259.1,,,,,,-4.86,-53.52,-53.5
G-0007,v0.2,e/acc,4JAnKFddd5fFTk5PxDj3PpTWJuTEfSWQEjZJcgKQ9KwW,pumpswap,2026-09-25T22:26:11Z,2026-09-26T22:26:11Z,path-open,0,,,,,,,,,,,,,,,,,,,
G-0008,v0.2,TRUMP,3jHUJmG2HfFfqrj5fezKBVNErnBs1Uq2rgz9g5qFCvCB,pumpswap,2026-09-25T22:26:11Z,2026-09-26T22:26:11Z,path-open,0,,,,,,,,,,,,,,,,,,,
G-0009,v0.2,GHOSTGUY,EcPhfKmJkQ7GTbtvcrnbuEwN331f9aAhoxyts6HhUCgt,pumpswap,2026-09-25T22:26:11Z,2026-09-26T22:26:11Z,path-open,0,,,,,,,,,,,,,,,,,,,
G-0010,v0.2,JEANWORK,6BP57xemygynet3rh9zJLQ6Fig7hRMtNBGkUJDdPsCKx,pumpswap,2026-09-25T22:26:11Z,2026-09-26T22:26:11Z,path-open,0,,,,,,,,,,,,,,,,,,,
